"ပြည်နယ်/တိုင်း","မြို့နယ်","ကျေးရွာအုပ်စု","ကျေးရွာ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ","ဦးရေ","ကောင်ရေ","ငွေ"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆည်","1","3","3","900,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","900,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆင်တိုင်းကန်","1","62","65","14,400,000","0","0","0","30","53","7,500,000","0","0","0","0","0","0","0","0","0","0","0","0","92","118","21,900,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆင်တပ်ကျင်း","1","1","2","400,000","0","0","0","0","0","0","26","4,394","7,900,000","0","0","0","0","0","0","0","0","0","27","4,396","8,300,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ခေါင်းရဲ","1","40","79","16,400,000","0","0","0","12","56","4,700,000","0","0","0","0","0","0","18","136","6,800,000","0","0","0","70","271","27,900,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ခပေါင်းကုန်း","1","11","13","3,200,000","0","0","0","1","3","300,000","0","0","0","0","0","0","0","0","0","0","0","0","12","16","3,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကြို့ပင်သာ","1","12","41","8,900,000","0","0","0","2","5","1,500,000","0","0","0","0","0","0","0","0","0","0","0","0","14","46","10,400,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကြက်ပြစ်","1","21","63","11,800,000","0","0","0","5","27","2,700,000","0","0","0","0","0","0","4","36","2,100,000","0","0","0","30","126","16,600,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကြက်ဆူတော","1","58","139","31,400,000","0","0","0","12","57","5,750,000","0","0","0","0","0","0","23","279","13,950,000","0","0","0","93","475","51,100,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကျောက်စစ်ကန်","1","26","26","6,500,000","0","0","0","9","22","2,300,000","0","0","0","0","0","0","5","25","1,250,000","0","0","0","40","73","10,050,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကျောက်ခွက်","1","6","6","2,550,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","2,550,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကံလွင်","1","7","14","2,425,000","0","0","0","28","34","3,550,000","0","0","0","0","0","0","2","6","300,000","0","0","0","37","54","6,275,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကမ်းဖြူ","1","30","32","6,000,000","1","2","100,000","31","64","6,300,000","0","0","0","0","0","0","26","62","3,100,000","0","0","0","88","160","15,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကန်ပေါက်","1","48","78","18,000,000","0","0","0","1","1","200,000","0","0","0","0","0","0","0","0","0","0","0","0","49","79","18,200,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကန်ပတ်လည်","1","13","26","5,250,000","0","0","0","5","15","1,600,000","0","0","0","0","0","0","6","42","2,100,000","0","0","0","24","83","8,950,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကတော","1","65","104","19,750,000","0","0","0","25","47","6,950,000","0","0","0","0","0","0","9","90","2,500,000","0","0","0","99","241","29,200,000"
