"ပြည်နယ်/တိုင်း","မြို့နယ်","ကျေးရွာအုပ်စု","ကျေးရွာ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ","ဦးရေ","ဧက","ငွေ"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တွင်းဖြူ","2","0","0.00","0","114","244.00","49,550,000","34","56.25","11,650,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","2","5.50","1,150,000","150","305.75","62,350,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တံခါးမ","1","0","0.00","0","25","60.80","15,200,000","42","98.00","19,600,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","67","158.80","34,800,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တောင်ဦး","1","0","0.00","0","19","34.00","6,900,000","22","39.00","7,800,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","41","73.00","14,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တောင်ပေါ်ဗလုံ","2","35","118.50","23,350,000","14","47.50","9,450,000","3","4.50","900,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","52","170.50","33,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တောင်ပေါ်  (မြောက်)","1","0","0.00","0","0","0.00","0","0","0.00","0","78","160.50","32,400,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","78","160.50","32,400,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တယ်ပင်တဲ","1","0","0.00","0","105","271.60","56,500,000","1","2.40","500,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","106","274.00","57,000,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","တငါ့ကန်","2","0","0.00","0","87","137.50","26,500,000","53","68.60","12,900,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","140","206.10","39,400,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဇလင်းတောင်","1","0","0.00","0","0","0.00","0","47","26.00","10,200,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","2","0.00","400,000","49","26.00","10,600,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆူးဖြူကုန်း","1","0","0.00","0","29","59.50","12,200,000","10","18.00","4,100,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","39","77.50","16,300,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆုံ","1","0","0.00","0","25","63.50","12,700,000","41","62.50","12,500,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","66","126.00","25,200,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆည်ပေါက်","1","0","0.00","0","15","40.50","8,500,000","13","27.25","5,500,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","3.00","600,000","29","70.75","14,600,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆည်","1","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","96","176.25","35,100,000","96","176.25","35,100,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆင်တိုင်းကန်","1","0","0.00","0","0","0.00","0","127","146.00","33,350,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","2","2.00","500,000","129","148.00","33,850,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ဆင်တပ်ကျင်း","1","0","0.00","0","84","127.50","25,700,000","0","0.00","0","48","69.50","14,300,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","132","197.00","40,000,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ခေါင်းရဲ","1","5","9.50","1,900,000","30","63.50","12,700,000","1","2.00","400,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","36","75.00","15,000,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ခပေါင်းကုန်း","1","38","72.50","14,500,000","31","56.50","11,300,000","8","11.00","2,200,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","2.50","500,000","78","142.50","28,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကြို့ပင်သာ","1","31","92.00","18,400,000","30","68.50","13,700,000","5","11.00","2,200,000","2","4.50","900,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","68","176.00","35,200,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကြက်ပြစ်","1","1","2.50","500,000","26","79.00","15,800,000","21","62.00","11,900,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","2.00","400,000","49","145.50","28,600,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကျောက်စစ်ကန်","1","0","0.00","0","28","45.50","9,100,000","23","37.75","7,650,000","2","12.50","600,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","1.75","350,000","54","97.50","17,700,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကျောက်ခွက်","1","0","0.00","0","37","37.00","15,950,000","27","27.00","10,850,000","19","19.00","8,750,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","83","83.00","35,550,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကံလွင်","1","1","2.00","400,000","16","36.75","7,225,000","75","112.25","21,900,000","20","19.00","3,200,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","1","1.50","300,000","113","171.50","33,025,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကမ်းဖြူ","1","0","0.00","0","54","73.00","14,500,000","14","20.00","4,000,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","68","93.00","18,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကန်ပေါက်","1","0","0.00","0","49","114.00","23,300,000","23","50.50","10,200,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","72","164.50","33,500,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကန်ပတ်လည်","2","0","0.00","0","0","0.00","0","0","0.00","0","91","160.80","33,050,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","38","63.00","14,400,000","129","223.80","47,450,000"
"မန္တလေးတိုင်းဒေသကြီး","ကျောက်ပန်းတောင်း","ကတော","1","0","0.00","0","0","0.00","0","23","49.50","9,450,000","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","23","49.50","9,450,000"
